id,job_title,soc_code,soc_title,company,city,state,wage_level,base_salary_usd,prevailing_wage_usd,case_status,submit_year,day1_green_card_policy,e_verify_registered,cap_exempt_organization,source_authority,verification_portal
lca-011,FinTech Banking Infrastructure Engineer,15-1252,Software Developers,JPMorgan Chase & Co.,Plano,TX,Level II (Qualified),148000,124000,Certified,2026,True,True,False,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
lca-012,Software Development Engineer II (AWS S3 & EC2),15-1252,Software Developers,Amazon.com Services LLC,Seattle,WA,Level II (Qualified),178000,146500,Certified,2026,True,True,False,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
lca-013,Principal Software Engineer (Azure AI),15-1252,Software Developers,Microsoft Corporation,Redmond,WA,Level IV (Fully Competent),210000,174200,Certified,2026,True,True,False,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
lca-014,Kubernetes Infrastructure Engineer,15-1252,Software Developers,Google LLC (Seattle Campus),Seattle,WA,Level III (Experienced),195000,158900,Certified,2026,True,True,False,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
lca-015,Computational Immunology Postdoc,19-1042,Medical Scientists,Fred Hutchinson Cancer Center,Seattle,WA,Level I (Entry),82000,71500,Certified,2026,True,True,True,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
lca-016,Quantitative Trading Systems Developer (C++),15-1252,Software Developers,Citadel LLC,New York,NY,Level IV (Fully Competent),245000,185000,Certified,2026,True,True,False,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
lca-017,Financial Quantitative Analyst (Algorithmic Modeling),13-2051,Financial Analysts,Goldman Sachs & Co. LLC,New York,NY,Level III (Experienced),190000,148200,Certified,2026,True,True,False,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
lca-018,Real-Time Market Data Engineer,15-1252,Software Developers,Bloomberg LP,New York,NY,Level II (Qualified),175000,139500,Certified,2026,True,True,False,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
lca-019,Staff Oncology Data Scientist,15-2051,Data Scientists,Memorial Sloan Kettering Cancer Center,New York,NY,Level III (Experienced),155000,132000,Certified,2026,True,True,True,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
lca-020,Registered Nurse (Cardiothoracic ICU - Schedule A),29-1141,Registered Nurses,NewYork-Presbyterian Hospital,New York,NY,Level II (Qualified),118000,98500,Certified,2026,True,True,True,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
lca-021,Senior Computational Biologist (Genomics AI),19-1029,"Biological Scientists, All Other",ModernaTX Inc.,Cambridge,MA,Level III (Experienced),168000,135000,Certified,2026,True,True,False,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
lca-022,Research Scientist (Quantum Computing Lab),19-2012,Physicists,Massachusetts Institute of Technology (MIT),Cambridge,MA,Level II (Qualified),105000,88500,Certified,2026,True,True,True,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
lca-023,Supply Chain Optimization Algorithms Engineer,15-1252,Software Developers,Wayfair LLC,Boston,MA,Level II (Qualified),152000,126400,Certified,2026,True,True,False,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
lca-024,Low-Latency C++ Execution Engineer,15-1252,Software Developers,Jump Trading LLC,Chicago,IL,Level III (Experienced),215000,155000,Certified,2026,True,True,False,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
lca-025,Cloud Security Systems Engineer,15-1212,Information Security Analysts,Motorola Solutions Inc.,Chicago,IL,Level II (Qualified),140000,112000,Certified,2026,True,True,False,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
lca-026,Principal Cloud Security Architect,15-1212,Information Security Analysts,Cisco Systems Inc. (RTP Campus),Research Triangle Park,NC,Level IV (Fully Competent),185000,144000,Certified,2026,True,True,False,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
lca-027,Senior Distributed Systems Engineer,15-1252,Software Developers,Capital One Services LLC,McLean,VA,Level III (Experienced),172000,138000,Certified,2026,True,True,False,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
lca-028,Payment Gateway Core Developer,15-1252,Software Developers,Global Payments Inc. (Atlanta HQ),Atlanta,GA,Level II (Qualified),138000,110500,Certified,2026,True,True,False,U.S. Department of Labor OFLC Form ETA-9035 / ETA-9035E Disclosures,https://www.uscareersolutions.online/tools/lca-salary-search
